Number of particles,times
2,0.017699115044248
6,0.023598820058997
5,0.029498525073746
4,0.035398230088496
4,0.041297935103245
3,0.047197640117994
4,0.053097345132743
3,0.058997050147493
3,0.064896755162242
6,0.070796460176991
6,0.07669616519174
5,0.08259587020649
3,0.088495575221239
4,0.094395280235988
3,0.100294985250737
3,0.106194690265487
4,0.112094395280236
5,0.117994100294985
3,0.123893805309735
5,0.129793510324484
5,0.135693215339233
4,0.141592920353982
2,0.147492625368732
8,0.153392330383481
2,0.15929203539823
3,0.165191740412979
3,0.171091445427729
4,0.176991150442478
5,0.182890855457227
3,0.188790560471976
7,0.194690265486726
4,0.200589970501475
6,0.206489675516224
4,0.212389380530973
3,0.218289085545723
2,0.224188790560472
9,0.230088495575221
2,0.23598820058997
4,0.24188790560472
9,0.247787610619469
11,0.253687315634218
5,0.259587020648968
4,0.265486725663717
5,0.271386430678466
5,0.277286135693215
2,0.283185840707965
5,0.289085545722714
3,0.294985250737463
5,0.300884955752212
4,0.306784660766962
2,0.312684365781711
5,0.31858407079646
4,0.324483775811209
7,0.330383480825959
6,0.336283185840708
4,0.342182890855457
10,0.348082595870207
5,0.353982300884956
3,0.359882005899705
1,0.365781710914454
6,0.371681415929204
5,0.377581120943953
5,0.383480825958702
2,0.389380530973451
5,0.395280235988201
7,0.40117994100295
2,0.407079646017699
6,0.412979351032448
4,0.418879056047198
5,0.424778761061947
9,0.430678466076696
4,0.436578171091445
3,0.442477876106195
1,0.448377581120944
1,0.454277286135693
4,0.460176991150443
5,0.466076696165192
3,0.471976401179941
8,0.47787610619469
3,0.48377581120944
1,0.489675516224189
3,0.495575221238938
5,0.501474926253687
1,0.507374631268437
1,0.513274336283186
5,0.519174041297935
3,0.525073746312684
4,0.530973451327434
2,0.536873156342183
5,0.542772861356932
4,0.548672566371682
5,0.554572271386431
4,0.56047197640118
7,0.566371681415929
3,0.572271386430678
6,0.578171091445428
2,0.584070796460177
4,0.589970501474926
6,0.595870206489675
3,0.601769911504425
4,0.607669616519174
4,0.613569321533923
4,0.619469026548673
3,0.625368731563422
9,0.631268436578171
3,0.63716814159292
2,0.64306784660767
3,0.648967551622419
6,0.654867256637168
8,0.660766961651918
6,0.666666666666667
5,0.672566371681416
3,0.678466076696165
5,0.684365781710914
4,0.690265486725664
5,0.696165191740413
4,0.702064896755162
3,0.707964601769911
1,0.713864306784661
1,0.71976401179941
1,0.725663716814159
3,0.731563421828909
4,0.737463126843658
2,0.743362831858407
1,0.749262536873156
5,0.755162241887906
5,0.761061946902655
3,0.766961651917404
4,0.772861356932153
3,0.778761061946903
6,0.784660766961652
2,0.790560471976401
5,0.79646017699115
9,0.8023598820059
10,0.808259587020649
4,0.814159292035398
8,0.820058997050147
2,0.825958702064897
6,0.831858407079646
2,0.837758112094395
4,0.843657817109145
6,0.849557522123894
3,0.855457227138643
2,0.861356932153392
7,0.867256637168142
4,0.873156342182891
6,0.87905604719764
6,0.884955752212389
5,0.890855457227139
5,0.896755162241888
3,0.902654867256637
10,0.908554572271386
3,0.914454277286136
4,0.920353982300885
4,0.926253687315634
2,0.932153392330383
5,0.938053097345133
2,0.943952802359882
6,0.949852507374631
4,0.955752212389381
6,0.96165191740413
5,0.967551622418879
5,0.973451327433628
3,0.979351032448378
7,0.985250737463127
3,0.991150442477876
3,0.997050147492625
5,1.00294985250737
2,1.00884955752212
8,1.01474926253687
5,1.02064896755162
2,1.02654867256637
4,1.03244837758112
3,1.03834808259587
4,1.04424778761062
3,1.05014749262537
6,1.05604719764012
4,1.06194690265487
5,1.06784660766962
1,1.07374631268437
3,1.07964601769912
7,1.08554572271386
4,1.09144542772861
2,1.09734513274336
3,1.10324483775811
6,1.10914454277286
5,1.11504424778761
3,1.12094395280236
3,1.12684365781711
4,1.13274336283186
3,1.13864306784661
8,1.14454277286136
4,1.15044247787611
6,1.15634218289086
3,1.1622418879056
3,1.16814159292035
5,1.1740412979351
2,1.17994100294985
10,1.1858407079646
6,1.19174041297935
1,1.1976401179941
5,1.20353982300885
3,1.2094395280236
5,1.21533923303835
4,1.2212389380531
6,1.22713864306785
3,1.2330383480826
4,1.23893805309735
4,1.24483775811209
2,1.25073746312684
10,1.25663716814159
8,1.26253687315634
5,1.26843657817109
7,1.27433628318584
6,1.28023598820059
3,1.28613569321534
6,1.29203539823009
3,1.29793510324484
6,1.30383480825959
7,1.30973451327434
5,1.31563421828909
6,1.32153392330384
5,1.32743362831858
6,1.33333333333333
6,1.33923303834808
5,1.34513274336283
1,1.35103244837758
4,1.35693215339233
3,1.36283185840708
4,1.36873156342183
8,1.37463126843658
6,1.38053097345133
9,1.38643067846608
3,1.39233038348083
4,1.39823008849558
9,1.40412979351032
2,1.41002949852507
5,1.41592920353982
2,1.42182890855457
8,1.42772861356932
3,1.43362831858407
5,1.43952802359882
4,1.44542772861357
8,1.45132743362832
5,1.45722713864307
7,1.46312684365782
5,1.46902654867257
12,1.47492625368732
6,1.48082595870207
8,1.48672566371681
5,1.49262536873156
1,1.49852507374631
2,1.50442477876106
6,1.51032448377581
3,1.51622418879056
4,1.52212389380531
7,1.52802359882006
4,1.53392330383481
4,1.53982300884956
10,1.54572271386431
4,1.55162241887906
4,1.55752212389381
3,1.56342182890855
4,1.5693215339233
6,1.57522123893805
5,1.5811209439528
4,1.58702064896755
7,1.5929203539823
4,1.59882005899705
7,1.6047197640118
7,1.61061946902655
6,1.6165191740413
8,1.62241887905605
4,1.6283185840708
4,1.63421828908555
6,1.6401179941003
8,1.64601769911504
13,1.65191740412979
8,1.65781710914454
6,1.66371681415929
10,1.66961651917404
8,1.67551622418879
5,1.68141592920354
6,1.68731563421829
9,1.69321533923304
6,1.69911504424779
8,1.70501474926254
11,1.71091445427729
7,1.71681415929204
8,1.72271386430678
9,1.72861356932153
6,1.73451327433628
5,1.74041297935103
7,1.74631268436578
9,1.75221238938053
4,1.75811209439528
6,1.76401179941003
3,1.76991150442478
9,1.77581120943953
4,1.78171091445428
6,1.78761061946903
6,1.79351032448378
6,1.79941002949853
3,1.80530973451327
4,1.81120943952802
4,1.81710914454277
3,1.82300884955752
4,1.82890855457227
6,1.83480825958702
5,1.84070796460177
3,1.84660766961652
6,1.85250737463127
5,1.85840707964602
10,1.86430678466077
11,1.87020648967552
5,1.87610619469027
13,1.88200589970502
8,1.88790560471976
6,1.89380530973451
4,1.89970501474926
7,1.90560471976401
5,1.91150442477876
4,1.91740412979351
6,1.92330383480826
9,1.92920353982301
3,1.93510324483776
4,1.94100294985251
6,1.94690265486726
9,1.95280235988201
7,1.95870206489676
4,1.9646017699115
6,1.97050147492625
5,1.976401179941
8,1.98230088495575
8,1.9882005899705
6,1.99410029498525
9,2
4,2.00589970501475
7,2.0117994100295
6,2.01769911504425
8,2.023598820059
8,2.02949852507375
8,2.0353982300885
6,2.04129793510325
6,2.04719764011799
5,2.05309734513274
6,2.05899705014749
13,2.06489675516224
6,2.07079646017699
5,2.07669616519174
8,2.08259587020649
10,2.08849557522124
7,2.09439528023599
6,2.10029498525074
6,2.10619469026549
10,2.11209439528024
9,2.11799410029499
5,2.12389380530973
15,2.12979351032448
8,2.13569321533923
6,2.14159292035398
3,2.14749262536873
4,2.15339233038348
2,2.15929203539823
2,2.16519174041298
6,2.17109144542773
7,2.17699115044248
5,2.18289085545723
4,2.18879056047198
2,2.19469026548673
8,2.20058997050147
9,2.20648967551622
6,2.21238938053097
1,2.21828908554572
10,2.22418879056047
9,2.23008849557522
10,2.23598820058997
4,2.24188790560472
7,2.24778761061947
2,2.25368731563422
8,2.25958702064897
3,2.26548672566372
5,2.27138643067847
5,2.27728613569322
3,2.28318584070796
2,2.28908554572271
3,2.29498525073746
2,2.30088495575221
10,2.30678466076696
2,2.31268436578171
6,2.31858407079646
4,2.32448377581121
8,2.33038348082596
5,2.33628318584071
5,2.34218289085546
7,2.34808259587021
3,2.35398230088496
6,2.3598820058997
13,2.36578171091445
3,2.3716814159292
5,2.37758112094395
7,2.3834808259587
5,2.38938053097345
9,2.3952802359882
5,2.40117994100295
10,2.4070796460177
9,2.41297935103245
4,2.4188790560472
6,2.42477876106195
6,2.4306784660767
6,2.43657817109145
3,2.44247787610619
4,2.44837758112094
5,2.45427728613569
5,2.46017699115044
5,2.46607669616519
3,2.47197640117994
6,2.47787610619469
6,2.48377581120944
5,2.48967551622419
4,2.49557522123894
8,2.50147492625369
4,2.50737463126844
4,2.51327433628319
7,2.51917404129794
2,2.52507374631268
5,2.53097345132743
10,2.53687315634218
5,2.54277286135693
5,2.54867256637168
6,2.55457227138643
6,2.56047197640118
8,2.56637168141593
5,2.57227138643068
5,2.57817109144543
4,2.58407079646018
5,2.58997050147493
6,2.59587020648968
7,2.60176991150442
7,2.60766961651917
5,2.61356932153392
7,2.61946902654867
7,2.62536873156342
7,2.63126843657817
4,2.63716814159292
8,2.64306784660767
5,2.64896755162242
3,2.65486725663717
6,2.66076696165192
5,2.66666666666667
7,2.67256637168142
3,2.67846607669617
13,2.68436578171091
4,2.69026548672566
8,2.69616519174041
5,2.70206489675516
5,2.70796460176991
6,2.71386430678466
3,2.71976401179941
5,2.72566371681416
6,2.73156342182891
7,2.73746312684366
6,2.74336283185841
6,2.74926253687316
3,2.75516224188791
5,2.76106194690266
5,2.7669616519174
8,2.77286135693215
7,2.7787610619469
3,2.78466076696165
6,2.7905604719764
7,2.79646017699115
9,2.8023598820059
4,2.80825958702065
5,2.8141592920354
6,2.82005899705015
7,2.8259587020649
7,2.83185840707965
7,2.8377581120944
9,2.84365781710914
9,2.84955752212389
10,2.85545722713864
7,2.86135693215339
9,2.86725663716814
8,2.87315634218289
6,2.87905604719764
5,2.88495575221239
4,2.89085545722714
5,2.89675516224189
3,2.90265486725664
5,2.90855457227139
8,2.91445427728614
3,2.92035398230088
5,2.92625368731563
4,2.93215339233038
4,2.93805309734513
3,2.94395280235988
4,2.94985250737463
7,2.95575221238938
10,2.96165191740413
6,2.96755162241888
5,2.97345132743363
10,2.97935103244838
5,2.98525073746313
3,2.99115044247788
6,2.99705014749263
5,3.00294985250737
6,3.00884955752212
13,3.01474926253687
6,3.02064896755162
6,3.02654867256637
8,3.03244837758112
4,3.03834808259587
9,3.04424778761062
11,3.05014749262537
4,3.05604719764012
7,3.06194690265487
6,3.06784660766962
12,3.07374631268437
6,3.07964601769911
7,3.08554572271386
2,3.09144542772861
6,3.09734513274336
2,3.10324483775811
7,3.10914454277286
9,3.11504424778761
11,3.12094395280236
3,3.12684365781711
7,3.13274336283186
6,3.13864306784661
5,3.14454277286136
5,3.15044247787611
6,3.15634218289086
11,3.1622418879056
6,3.16814159292035
9,3.1740412979351
3,3.17994100294985
6,3.1858407079646
4,3.19174041297935
6,3.1976401179941
10,3.20353982300885
4,3.2094395280236
10,3.21533923303835
2,3.2212389380531
3,3.22713864306785
5,3.2330383480826
4,3.23893805309735
4,3.24483775811209
9,3.25073746312684
6,3.25663716814159
6,3.26253687315634
8,3.26843657817109
4,3.27433628318584
7,3.28023598820059
13,3.28613569321534
6,3.29203539823009
4,3.29793510324484
4,3.30383480825959
9,3.30973451327434
11,3.31563421828909
6,3.32153392330383
4,3.32743362831858
6,3.33333333333333
4,3.33923303834808
6,3.34513274336283
7,3.35103244837758
10,3.35693215339233
12,3.36283185840708
9,3.36873156342183
15,3.37463126843658
13,3.38053097345133
6,3.38643067846608
9,3.39233038348083
3,3.39823008849558
4,3.40412979351032
3,3.41002949852507
5,3.41592920353982
4,3.42182890855457
4,3.42772861356932
2,3.43362831858407
