Number of particles,times
4,0.017699115044248
8,0.023598820058997
6,0.029498525073746
8,0.035398230088496
5,0.041297935103245
11,0.047197640117994
4,0.053097345132743
6,0.058997050147493
6,0.064896755162242
7,0.070796460176991
4,0.076696165191741
6,0.08259587020649
8,0.088495575221239
10,0.094395280235988
6,0.100294985250738
9,0.106194690265487
5,0.112094395280236
6,0.117994100294985
16,0.123893805309734
7,0.129793510324484
9,0.135693215339233
10,0.141592920353982
3,0.147492625368731
8,0.153392330383481
7,0.15929203539823
7,0.165191740412979
7,0.171091445427728
7,0.176991150442478
9,0.182890855457227
11,0.188790560471977
6,0.194690265486725
7,0.200589970501475
8,0.206489675516225
13,0.212389380530973
6,0.218289085545723
5,0.224188790560472
7,0.230088495575222
8,0.23598820058997
9,0.24188790560472
5,0.247787610619468
6,0.253687315634218
6,0.259587020648968
7,0.265486725663717
8,0.271386430678467
4,0.277286135693215
6,0.283185840707965
8,0.289085545722713
13,0.294985250737463
5,0.300884955752212
6,0.306784660766962
8,0.312684365781712
6,0.31858407079646
4,0.32448377581121
5,0.330383480825958
6,0.336283185840708
7,0.342182890855457
10,0.348082595870207
8,0.353982300884955
5,0.359882005899705
11,0.365781710914455
9,0.371681415929203
6,0.377581120943953
10,0.383480825958702
7,0.389380530973452
4,0.3952802359882
6,0.40117994100295
7,0.407079646017698
10,0.412979351032448
7,0.418879056047198
12,0.424778761061947
10,0.430678466076697
7,0.436578171091445
9,0.442477876106195
5,0.448377581120943
5,0.454277286135693
6,0.460176991150442
9,0.466076696165192
7,0.471976401179942
3,0.47787610619469
5,0.48377581120944
9,0.489675516224188
12,0.495575221238938
7,0.501474926253687
8,0.507374631268437
10,0.513274336283185
5,0.519174041297935
8,0.525073746312685
8,0.530973451327433
6,0.536873156342183
5,0.542772861356932
5,0.548672566371682
4,0.55457227138643
9,0.56047197640118
8,0.56637168141593
5,0.572271386430678
7,0.578171091445428
8,0.584070796460177
9,0.589970501474927
9,0.595870206489675
8,0.601769911504425
7,0.607669616519173
12,0.613569321533923
11,0.619469026548673
5,0.625368731563422
5,0.631268436578172
7,0.63716814159292
14,0.64306784660767
10,0.648967551622418
5,0.654867256637168
6,0.660766961651917
6,0.666666666666667
11,0.672566371681417
5,0.678466076696165
6,0.684365781710915
7,0.690265486725663
6,0.696165191740413
9,0.702064896755162
9,0.707964601769912
5,0.713864306784662
10,0.71976401179941
6,0.72566371681416
6,0.731563421828908
8,0.737463126843658
6,0.743362831858407
7,0.749262536873157
9,0.755162241887905
4,0.761061946902655
6,0.766961651917405
7,0.772861356932153
10,0.778761061946903
7,0.784660766961652
8,0.790560471976402
10,0.79646017699115
10,0.8023598820059
8,0.808259587020648
6,0.814159292035398
8,0.820058997050148
6,0.825958702064897
9,0.831858407079647
6,0.837758112094395
5,0.843657817109145
8,0.849557522123893
9,0.855457227138643
7,0.861356932153392
6,0.867256637168142
10,0.873156342182892
6,0.87905604719764
4,0.88495575221239
9,0.890855457227138
8,0.896755162241888
8,0.902654867256637
11,0.908554572271387
6,0.914454277286137
8,0.920353982300885
8,0.926253687315635
4,0.932153392330383
7,0.938053097345133
7,0.943952802359882
9,0.949852507374632
10,0.95575221238938
7,0.96165191740413
8,0.967551622418878
9,0.973451327433628
5,0.979351032448378
10,0.985250737463127
9,0.991150442477877
17,0.997050147492625
6,1.00294985250738
5,1.00884955752212
7,1.01474926253687
3,1.02064896755162
6,1.02654867256637
10,1.03244837758112
11,1.03834808259587
12,1.04424778761062
7,1.05014749262537
7,1.05604719764012
6,1.06194690265487
12,1.06784660766962
8,1.07374631268437
